"SKILLS AWARD INFORMATION TECHNOLOGY, FOUNDATION LEVEL (pb)2002",,"PKR 495.00","P. K. MCBRIDE",0521525292,2002,"COMPUTER SCIENCE > COMPUTER SCIENCE",1,Paperback,English,143,images/books/0521525292.jpg,http://paramountbooks.com.pk/loginindex.asp?isbn=0521525292&opt=3&sUBcAT=03
"CIE PDFT: TEACHING AND ASSESSING SKILLS IN COMPUTER STUDIES (pb)2002",,"PKR 845.00","STEWART WAINWRIGHT",0521753600,2002,"COMPUTER SCIENCE > COMPUTER SCIENCE",1,Paperback,English,90,images/books/0521753600.jpg,http://paramountbooks.com.pk/loginindex.asp?isbn=0521753600&opt=3&sUBcAT=03
"MANAGEMENT INFORMATION SYSTEMS: MANAGING INFORMATION TECHNOLOGY IN THE EBUSINESS ENTERPRISE 5e(pb)03",,"PKR 750.00",O'BRIEN,0070486379,2003,"COMPUTER SCIENCE > COMPUTER SCIENCE",5,Paperback,English,530,,http://paramountbooks.com.pk/loginindex.asp?isbn=0070486379&opt=3&sUBcAT=03
"OCY: PART 7 FOR BEGINNERS, FLASH 5 (pb)",,"PKR 185.00","AMAN CHAWLA",8173014787,2003,"COMPUTER SCIENCE > COMPUTER SCIENCE",1,Paperback,English,143,images/books/8173014787.jpg,http://paramountbooks.com.pk/loginindex.asp?isbn=8173014787&opt=3&sUBcAT=03
"AN INTRODUCTION TO DIGITAL IMAGE PROCESSING W/MATLAB (hb) 2004","This book is an introduction to digital image processing from an elementary perspective. Providing a broad introduction to the discipline, the book covers topics that can be introduced with simple mathematics so students can learn the concepts without getting overwhelmed by mathematical detail. The first three chapters set the scene for the rest of the book by exploring the nature and use of digital images and how they can be obtained, stored, and displayed. By using MATLAB and its Image Processing Toolbox, students will be able to apply the theory they have learned into practice.  About the Author Alasdair McAndrew is Senior Lecturer in the School of Computer Science and Mathematics at Victoria University of Technology. His research interests include digital topology, applications of image processing, error control coding, mathematical inequalities and applications, pedagogy, and learning. His teaching interests include image processing, elementary undergraduate mathematics, coding, and cryptography. ","PKR 21,569.00","ALASDAIR MCANDREW",9780534400118,2004,"COMPUTER SCIENCE > COMPUTER SCIENCE",1,"Hard Cover",English,528,images/books/9780534400118.jpg,http://paramountbooks.com.pk/loginindex.asp?isbn=9780534400118&opt=3&sUBcAT=03
"A LEVEL COMPUTING FOR AQA (pb)2004",,"PKR 1,595.00",REEVES,0340816554,2004,"COMPUTER SCIENCE > COMPUTER SCIENCE",1,Paperback,English,324,images/books/0340816554.jpg,http://paramountbooks.com.pk/loginindex.asp?isbn=0340816554&opt=3&sUBcAT=03
"SKILLS AWARD IN INFORMATION TECHNOLOGY, STANDARD LEVEL (pb)2005","For complete syllabus coverage of the Cambridge International Diplomas. Cambridge International Diploma in Information Technology. Both levels of the Cambridge International Diploma in Information Technology are fully covered in these two textbooks. The author, an IT specialist, writes in a lively and accessible style and uses a step-by-step approach to introduce students to the concepts and skills required at this level ","PKR 1,488.00","P. K. MCBRIDE",0521525284,2005,"COMPUTER SCIENCE > COMPUTER SCIENCE",1,Paperback,English,146,images/books/0521525284.jpg,http://paramountbooks.com.pk/loginindex.asp?isbn=0521525284&opt=3&sUBcAT=03
"INTRODUCTION TO COMPUTER STUDIES, AN (pb)2005","Computer studies is a rapidly changing and increasingly popular subject area. This book is intended for people who are meeting the subject for the first time. It gives full coverage of the core and optional material from many examination syllabuses and is particularly relevant to students taking the CXC Information technology.Cambridge O-level or International GCSE examinations.  NOEL KALICHARAN","PKR 519.00","NOEL KALICHARAN",0521586852,2005,"COMPUTER SCIENCE > COMPUTER SCIENCE",1,Paperback,English,367,images/books/0521586852.jpg,http://paramountbooks.com.pk/loginindex.asp?isbn=0521586852&opt=3&sUBcAT=03
"INFORMATION AND COMMUNICATION TECHNOLOGY FOR GCSE COURSEWORK BOOK (pb)2005",,"PKR 745.00","BRIAN THOMAS SARGENT",0340816392,2005,"COMPUTER SCIENCE > COMPUTER SCIENCE",1,Paperback,English,140,images/books/0340816392.jpg,http://paramountbooks.com.pk/loginindex.asp?isbn=0340816392&opt=3&sUBcAT=03
"QUESTION BANK: IN COMPUTER SCIENCE CBSE-CLASS XII (W/LATEST SOLVED QUESTION PAPERS) (pb)2006",,"PKR 577.00",MEHROTRA,812192006X,2006,"COMPUTER SCIENCE > COMPUTER SCIENCE",1,Paperback,English,691,images/books/812192006X.jpg,http://paramountbooks.com.pk/loginindex.asp?isbn=812192006X&opt=3&sUBcAT=03
