"FUNDAMENTALS OF FLIGHT 2e 2004","This Second Edition continues to provide readers with a clear introduction to the science and engineering of heavier-than-air flight vehicles. A comprehensive introduction to aeronautics for both majors and non-majors, covering the basics of fluid mechanics (for aeronautics), the production of lift and drag, and the effects of velocity and compressibility, among other topics. Frequently introduces applied aerodynamic methods and explains design integration in many chapters. ","PKR 825.00","RICHARD SHEPHERD SHEVELL",9788177587425,2004,"ENGINEERING > AERONAUTICAL ENGINEERING",2,Paperback,English,464,images/books/9788177587425.jpg,http://paramountbooks.com.pk/loginindex.asp?isbn=9788177587425&opt=3&sUBcAT=04
"ART OF THE HELICOPTER, THE (hb)2004",,"PKR 16,338.00","JOHN C. WATKINSON",0750657154,2004,"ENGINEERING > AERONAUTICAL ENGINEERING",1,"Hard Cover",English,390,images/books/0750657154.jpg,http://paramountbooks.com.pk/loginindex.asp?isbn=0750657154&opt=3&sUBcAT=04
"AIRCRAFT ELECTRICAL SYSTEMS 3e(pb)2006",,"PKR 544.00","E.H.J. J. PALLETT",8131703894,2006,"ENGINEERING > AERONAUTICAL ENGINEERING",3,Paperback,English,230,images/books/8131703894.jpg,http://paramountbooks.com.pk/loginindex.asp?isbn=8131703894&opt=3&sUBcAT=04
"GAS DYNAMICS 2e(pb)2008",,"PKR 195.00","E. RATHAKRISHNAN",9788120334533,2008,"ENGINEERING > AERONAUTICAL ENGINEERING",2,Paperback,English,451,images/books/9788120334533.jpg,http://paramountbooks.com.pk/loginindex.asp?isbn=9788120334533&opt=3&sUBcAT=04
"GUIDE TO COLLISION AVOIDANCE RULES, A 6e(hb)2008",,"PKR 923.00",COCKCROFT,9788181475145,2008,"ENGINEERING > AERONAUTICAL ENGINEERING",6,"Hard Cover",English,245,images/books/9788181475145.jpg,http://paramountbooks.com.pk/loginindex.asp?isbn=9788181475145&opt=3&sUBcAT=04
"AIRCRAFT FLIGHT 3e(pb)2008",,"PKR 606.00","R. H. BARNARD",9788131720332,2008,"ENGINEERING > AERONAUTICAL ENGINEERING",3,Paperback,English,370,images/books/9788131720332.jpg,http://paramountbooks.com.pk/loginindex.asp?isbn=9788131720332&opt=3&sUBcAT=04
"FLIGHT WITHOUT FORMULAE 5e(pb)2009","This fifth edition, updated by bill gunston, is an account of the basic principles of flight, explained as simply as possible and excluding all mathematical formulae. It is intended to be of use as an introductory text for trainee pilots and students as well as for the general reader. ","PKR 799.00","A. C. KERMODE",9788131713891,2009,"ENGINEERING > AERONAUTICAL ENGINEERING",5,Paperback,English,300,images/books/9788131713891.jpg,http://paramountbooks.com.pk/loginindex.asp?isbn=9788131713891&opt=3&sUBcAT=04
"BASIC WING AND AIRFOIL THEORY (pb) 2009","A classic of aeronautical engineering, this text for advanced undergraduates and graduate students is also an excellent reference. It begins with a survey of vector analysis and complex variables, offering readers the basic tools for handling subsequent chapters. Topics include stream function and other flow functions, the Joukowski transformation, airfoil construction and pressure distribution, and thin and thick airfoil theories. Surveys of finite and monoplane wings are succeeded by a consideration of the field about the wing, the spanwise load distribution for arbitrary wings, and assorted applications of perfect fluid theory. Each chapter includes several illustrated and explained examples, and numerous problems and references appear at the end of each chapter as well.  Author: Alan Pope  A pioneer in the study of wind effects, Alan Pope was Professor of the Daniel Guggenheim School of Aeronautics at the Georgia Institute of Technology. He also served as Director of Flight for Sandia National Laboratories.","PKR 2,444.00","ALAN POPE",9780486471884,2009,"ENGINEERING > AERONAUTICAL ENGINEERING",1,Paperback,English,277,images/books/9780486471884.jpg,http://paramountbooks.com.pk/loginindex.asp?isbn=9780486471884&opt=3&sUBcAT=04
"BASIC WING AND AIRFOIL THEORY (pb) 2009","A classic of aeronautical engineering, this text for advanced undergraduates and graduate students is also an excellent reference. It begins with a survey of vector analysis and complex variables, offering readers the basic tools for handling subsequent chapters.Topics include stream function and other flow functions, the Joukowski transformation, airfoil construction and pressure distribution, and thin and thick airfoil theories. Surveys of finite and monoplane wings are succeeded by a consideration of the field about the wing, the spanwise load distribution for arbitrary wings, and assorted applications of perfect fluid theory. Each chapter includes several illustrated and explained examples, and numerous problems and references appear at the end of each chapter as well.  Author: Alan Pope","PKR 2,444.00","ALAN POPE",0486471888,2009,"ENGINEERING > AERONAUTICAL ENGINEERING",1,Paperback,English,277,images/books/0486471888.jpg,http://paramountbooks.com.pk/loginindex.asp?isbn=0486471888&opt=3&sUBcAT=04
"AIRCRAFT PERFORMANCE & DESIGN (pb) 2010","Written by one of the most succesful aerospace authors, this new book develops aircraft performance techniques from first principles and applies then to real airplanes. It also address a philosophy of, and techniques for aircraft design. By developing and discussing these two subjects in a single text, the author captures a degree of synergism not found in other texts. The book is written in a conversational style, a trademark of all of john anderson's texts, to enhance the readers' understanding.  ","PKR 3,173.00","JOHN D. ANDERSON",9780070702455,2010,"ENGINEERING > AERONAUTICAL ENGINEERING",1,Paperback,English,580,images/books/9780070702455.jpg,http://paramountbooks.com.pk/loginindex.asp?isbn=9780070702455&opt=3&sUBcAT=04
