CHILD NEUROLOGY: CASE BASED (pb) 2019,"Child Neurology-Case Based provides practical learning in Pediatric Neurology. It presents step by step, a simplifi¬ed approach to clinical cases in Child Neurology. This book is fi¬lled with practical, clinically relevant guidance for neurologically difficult diagnosis and treatment in children.  About the Author: Dr. Muhammad Saeed completed his MBBS in 1991 from Allama Iqbal Medical College, Lahore, Pakistan. He pursued his post-graduation studies in Pediatric Medicine for 4 years at Services Hospital, Lahore and earned his FCPS. He also completed his MRCPS and FRCPS from Glasgow and FRCPCH from Royal College of London, UK. He served in different JCI accredited hospitals in KSA as Pediatric Neurologist. He was trained in Pediatric Neurology and Neurophysiology at King Faisal Specialist Hospital and Research Center, Riyadh, KSA. He has to his credit several publications in various national and international journals. He is author of Handbook of Pediatric Neurological Emergencies, which was published in 2016 in Pakistan. ",PKR595.00,MUHAMMAD SAEED,9789696375388,2019,PAEDIATRICS,1,Paperback,English,308,images/books/9789696375388.jpg,http://paramountbooks.com.pk/loginindex.asp?title=Child-Neurology:-Case-Based-(pb)-2019&ISBN=9789696375388&opt=3&SubCat=06&Cat=06028
THE CANADIAN CLINICIAN'S RHEUMATOLOGY HANDBOOK (pb) 2019,"The Canadian Clinician’s Rheumatology Handbook, endorsed by the Canadian Rheumatology Association, is a practical, fully illustrated handbook for the diagnosis and initial management of rheumatic disorders. Residents in rheumatology, internal medicine and family medicine programs, practicing physicians and medical students will find this handy pocket guide to be an indispensable resource. Allied health professionals and nurse practitioners will also find it accessible and informative, helping them to better manage their patients and clients.  Lead author Dr. Lori Albert has assembled a team of expert contributors, including academic rheumatologists from across Canada. This new edition updates and expands the very popular Canadian Residents’ Rheumatology Handbook.  Topics include:  Physical examinations and approaches to common rheumatic presentations. How to select and interpret laboratory tests and imaging. How to handle specific rheumatologic emergencies. Joint aspiration and injection techniques.  About the Author Lori Albert, MD, FRCPC, is an associate professor in the University of Toronto’s Faculty of Medicine. She has played a key role in rheumatology education at undergraduate and post-graduate levels and has won multiple teaching awards.",PKR895.00,LORI ALBERT,9789696375128,2019,RHEUMATOLOGY,2,Paperback,English,374,images/books/9789696375128.jpg,http://paramountbooks.com.pk/loginindex.asp?title=The-Canadian-Clinician''s-Rheumatology-Handbook-(pb)-2019&ISBN=9789696375128&opt=3&SubCat=06&Cat=06036
HASHMI’S MEDICAL BIOCHEMISTRY MCQs (QUICK REVIEW WITH EXPLAINATIONS) (pb) 2019,"Hashmi Medical Biochemistry MCQs covers full course of Medical Biochemistry currently followed by Medical Universities in Pakistan as advised by Higher Education Commission of Pakistan and Pakistan Medical and Dental Council, Islamabad. The book contains more than 1500 MCQs, fill in the blanks, true-false and match the following type questions on Medical Biochemistry. Extensive revision questions on molecular biology/biotechnology and xenobiotic sections have been added to make the book more useful and comprehensive yet being precise and student-friendly. Answers are followed by short explanation highlighting the rationale to the correct answer.  Both undergraduate and postgraduate students and students of allied health sciences will find this book useful for their exam preparation.  Author:  Prof. M.A. Hashmi has a wide teaching/research experience in Biochemistry. He has authored a number of original researches in developing methodologies of plasma protein fractionation, effect of free radicals on protein structure/ function modalities, anti-oxidant status in health and diseases, characteristics of course of Myocardial Infarction (MI), effect of geomagnetic factors such as geomagnetic pole,  and psychological behaviour in the development of MI. He holds the title of Productive Scientist of Pakistan from the Pakistan Council of Science and Technology, Islamabad.",PKR395.00,MUKHTAR AHMAD HASHMI,9789696375425,2019,BIOCHEMISTRY,1,Paperback,English,232,images/books/9789696375425.jpg,http://paramountbooks.com.pk/loginindex.asp?title=Hashmi’s-Medical-Biochemistry-Mcqs-(quick-Review-With-Explainations)-(pb)-2019&ISBN=9789696375425&opt=3&SubCat=06&Cat=06003
"BEDSIDE TECHNIQUES: METHODS OF CLINICAL EXAMAMINATION, 5e (pb) 2019",,PKR595.00,MUHAMMAD INAYATULLAH,9789696375258,2019,GENERAL PRACTICE,5,Paperback,English,232,images/books/9789696375258.jpg,"http://paramountbooks.com.pk/loginindex.asp?title=Bedside-Techniques:-Methods-Of-Clinical-Examamination,-5e-(pb)-2019&ISBN=9789696375258&opt=3&SubCat=06&Cat=06011"
MEO’S HUMAN PHYSIOLOGY: SYSTEMIC & APPLIED (pb) 2019,,PKR995.00,SULTAN AYOUB MEO,9789696375012,2019,ANATOMY / PHYSIOLOGY,1,Paperback,English,292,images/books/9789696375012.jpg,http://paramountbooks.com.pk/loginindex.asp?title=Meo’s-Human-Physiology:-Systemic-And-Applied-(pb)-2019&ISBN=9789696375012&opt=3&SubCat=06&Cat=06040
"HUMAN EMBRYOLOGY, 3e (pb) 2019","Human Embryology has been written with an intent to make the subject of embryology easily understandable for the students. To make this otherwise dreary subject interesting, explanation of the intricate developmental processes has been presented in a plain and palatable manner. Description of the normal development of organs/organ systems is supplemented by an account of the clinical correlates including the major congenital anomalies of the concerned organs/organ systems. Molecular regulation of development has been described in a very simplifi¬ed way which makes this newly introduced yet tedious component of embryology easily comprehensible for the students. This book contains more than 500 coloured illustrations, sketches and diagrams that facilitate and augment the comprehension of the text material.  Author:  Prof. Laiq Hussain Siddiqui graduated from Nishtar Medical College, Multan, in 1974. He served as Demonstrator in Anatomy at Nishtar Medical College, Multan, from 1975 to 1977, and then proceeded to the Basic Medical Sciences Institute, Jinnah Postgraduate Medical Centre, Karachi, for postgraduate training in the subject of Anatomy. He obtained his M.Phil. degree in 1979 and was appointed as Assistant Professor of Anatomy at Nishtar Medical College in the same year. In 1982, Prof. Laiq Hussain Siddiqui was promoted to the post of Associate Professor of Anatomy at Nishtar Medical College, Multan, and in 1987, he was promoted to the post of Professor of Anatomy at the same institution. In 2010, he was awarded FCPS degree in the subject of Anatomy by the College of Physicians & Surgeons Pakistan. Prof. Laiq Hussain Siddiqui held the charge of Principal, Nishtar Medical College, Multan, from 2006 to 2011. Presently, he is serving as Professor of Anatomy at Akhtar Saeed Medical & Dental College, Lahore. Prof. Laiq Hussain Siddiqui is a well-recognised medical author in the country and has two other books to his credit Medical Histology and General Anatomy.",PKR695.00,LAIQ HUSSAIN SIDDIQUI,9789696375456,2019,EMBRYOLOGY,3,Paperback,English,328,images/books/9789696375456.jpg,"http://paramountbooks.com.pk/loginindex.asp?title=Human-Embryology,-3e-(pb)-2019&ISBN=9789696375456&opt=3&SubCat=06&Cat=06009"
PEARLS OF PATHOLOGY WITH MCQs & EASY QUESTIONS (pb) 2019,"Pearls of Pathology is an elucidation of the essence of pathology providing compulsory knowledge on the subject to all medical students. This is an illustrated treatise on the complex subject in most simpli¬fied manner, aimed to help medical and paramedical students. Multiple Choice Questions and Essay Questions based on clinical correlations and cases are also provided at the end of each chapter. Brief introduction to the topics is supplemented by lucid illustrations, photographs, diagrams and organized mini-sections for a comprehensive visual learning. This mini-textbook will get the students comfortably through the basics of Pathology across the board.  About the Author:  Dr. Anshoo Agarwal has worked as a Professor & Chairperson at Department of Pathology, RAK Medical and Health Sciences University. She received her Bachelor of Medicine & Bachelor of Surgery from King George's Medical College, Lucknow. Dr. Anshoo Agarwal received her MD in Pathology from LLRM Medical College/Ch. Charan Singh University. She has served at internationally reputed universities in Nepal and Malaysia and remained a Discipline Coordinator in University Technology MARA, Malaysia. She is associated as a member with many scientifi¬c associations like International Academy Pathology, Indian Society of Hematology & Transfusion Medicine, Emirates Medical Association Pathology Society, etc.  Dr. Manal Mahmoud Sami received her MBChB degree and then her MSc and MD/ PhD in Pathology from Faculty of Medicine, Suez Canal University, Egypt. She has over 20 years’ experience in teaching Pathology for undergraduate and postgraduate students at Suez Canal University and Ras Al Khaimah Medical and Health Sciences University. Dr. Manal has authored many researches in the fi¬elds of Experimental and Molecular Pathology, Histopathology, as well as Medical Education. Currently, she works as Professor of Pathology and Dean of Students Affairs at Ras Al Khaimah Medical and Health Sciences University and Associate Professor of Pathology at Faculty of Medicine, Suez Canal University. She is a member of the Egyptian Society of Pathology and the Emirates Medical Society-Pathology. ",PKR445.00,ANSHOO AGARWAL,9789696373858,2019,PATHOLOGY,1,Paperback,English,152,images/books/9789696373858.jpg,http://paramountbooks.com.pk/loginindex.asp?title=Pearls-Of-Pathology-With-Mcqs-And-Easy-Questions-(pb)-2019&ISBN=9789696373858&opt=3&SubCat=06&Cat=06029
"SHORTCUT TO ORTHOPAEDICS, 2e (pb) 2018",Author: Robert JE Perlau,PKR695.00,ROBERT J R PERLAU,9789696375173,2018,ORTHOPAEDICS,2,Paperback,English,248,images/books/9789696375173.jpg,"http://paramountbooks.com.pk/loginindex.asp?title=Shortcut-To-Orthopaedics,-2e-(pb)-2018&ISBN=9789696375173&opt=3&SubCat=06&Cat=06026"
PAKISTAN: BEAUTY AND SPLENDOUR (hb),"A Truly Outstanding Coffee Table Book on Pakistan – Every photograph is a masterpiece of composition, color, ambience. I now look at Pakistan with renewed admiration and appreciation. Dr. Marcella Sirhandi Professor Emeritus Oklahoma State University Stillwater,    Author: Irfan Mirza","PKR5,000.00",IRFAN MIRZA,9789696375678,2019,PAKISTAN,1,Hard Cover,English,192,images/books/9789696375678.jpg,http://paramountbooks.com.pk/loginindex.asp?title=Pakistan:-Beauty-And-Splendour-(hb)&ISBN=9789696375678&opt=3&SubCat=05&Cat=05028
MUHAMMAD S.A.W.W: ROLE MODEL FOR HUMANITY (pb),Messenger Muhammad S.A.W.W is an inspiration to hundreds of millions of people around the world. In this book are also some sayings of Muhammad S.A.W.W (Ahadith) that help us to understand his inspirational character.  Author: Prof. Muhammad Rafi,PKR345.00,MUHAMMAD RAFI,9789696375609,2019,MUHAMMAD (PBUH),1,Paperback,English,108,images/books/9789696375609.jpg,http://paramountbooks.com.pk/loginindex.asp?title=Muhammad-S.a.w.w:-Role-Model-For-Humanity-(pb)&ISBN=9789696375609&opt=3&SubCat=05&Cat=05019
