"Dux Super Writer (700) Pencil (12 pcs in a pack)","dux superb writer (7000) pencil
 12 pcs(dozen)
 these real wood hb pencils are ideal for writting,drafting and sketching
 they are made of high quality wood and sharpen smoothly 
 they leads in these pencils are fully bounded to the wood to present breakge",No,"PKR 90.00",No,"STATIONARY > SCHOOL SUPPLIES > WRITING TOOL",images/dux-super-writer-700-pencil-12-pcs-in-a-pack-.jpg,https://stationeryx.pk/dux-super-writer-700-pencil.html
"Sensa delight Lead Pencil (12 pcs in a pack)","sensa delight lead pencil
 Special Graphite SV bonding for Superior Break Resistance and Point Strength
 Ideal for Writing, Drafting & Sketching
 They are made of High Quality wood and sharpen smoothly
 Doesn't contain Rain Forest Wood 
 12 Pcs
 Model 8000+",SENSA,"PKR 75.00",No,"STATIONARY > SCHOOL SUPPLIES > WRITING TOOL",images/sensa-delight-lead-pencil-12-pcs-in-a-pack-.jpg,https://stationeryx.pk/sensa-delight-lead-pencil.html
"Deli Pencil 0493","Lead Color:Colored
 Lead Hardness:HB
 Model Number:0493
 Type:Graphite / ordinary 
 pencil Color Classification:Pink Blue
 Use classification:watercolor
 no.0493",No,"PKR 170.00",No,"STATIONARY > SCHOOL SUPPLIES > WRITING TOOL",images/deli-pencil-0493.jpg,https://stationeryx.pk/deli-pencil-0493.html
"Piano Color Permanent Marker Round Tip -70","Brand: PIANO 
 Name : PIANO Permanent Marker 
 Descp: PIANO Permanent Marker 
 Model: 70 Bullet Tip
 QTY : Single
 It Is Designed For Art Use In Offices, Workshops, Schools And Many Other Institutes. It Is A Permanent Marker. It Possesses Japanese Acrylic Tip 70 (Bullet Tip). Made Up Of Recycled Materials.
 
 It Should Be Used On Non Absorbent Surfaces. This Marker Comes In A Card Box Wrapping Of 12 Pieces.
 
 Strong Aluminum Body
 Special Paint Ink
 Japanese Acrylic Bullet Tip
 Writes On Almost All Surfaces",,"PKR 150.00",,"STATIONARY > SCHOOL SUPPLIES > WRITING TOOL",images/piano-color-permanent-marker-round-tip-70.jpg,https://stationeryx.pk/piano-color-permanent-marker-round-tip-70.html
"Glitter Color Gel Pen - Best Glitter Gel Pens At Stationeryx","Single Pack. 12 pieces.
 One of the favored tools of arts and crafts enthusiasts and those who take pride in their handwriting is the gel pen. Gel pens are a fairly recent success in the world of stationery which continues to grow in popularity. Coming in a range of colors and for different uses, these pens offer a bold and bright line that isn’t possible with other writing tools.",No,"PKR 180.00",,"STATIONARY > SCHOOL SUPPLIES > WRITING TOOL",images/glitter-color-gel-pen-best-glitter-gel-pens-at-stationeryx.jpg,https://stationeryx.pk/color-gel-pen-s.html
"GoldFish Autocrat HB Pencil","goldfish autocrat hb pencil
 12 pcs(dozen)
 eraseable ceramic graphite ultra corpuscular reinforced break resistant lead.
 1.2 radius corners for finger frinedly grip.",Goldfish,"PKR 90.00",No,"STATIONARY > SCHOOL SUPPLIES > WRITING TOOL",images/goldfish-autocrat-hb-pencil.jpg,https://stationeryx.pk/goldfish-autocrat-hb-pencil.html
"Mercury Marker Set","fiber tip pen
 set of 10 color marker
 Best quality",No,"PKR 70.00",No,"STATIONARY > SCHOOL SUPPLIES > WRITING TOOL",images/mercury-marker-set.jpg,https://stationeryx.pk/mercury-marker-set.html
"Master Mate Marker Set","master ensure complete writing satisfaction
 master writing instruments are subject to strict quality controls during all production stages",No,"PKR 50.00",No,"STATIONARY > SCHOOL SUPPLIES > WRITING TOOL",images/master-mate-marker-set.jpg,https://stationeryx.pk/master-mate-marker-set.html
"ORO Eraser 60 pcs 2012","eraser oro 2012 60 pcs
 soft erasing 
 Soft And Clean Eraser
 For Drawing Or Office",No,"PKR 160.00",No,"STATIONARY > SCHOOL SUPPLIES > WRITING TOOL",images/oro-eraser-60-pcs-2012.jpg,https://stationeryx.pk/eraser-oro-60-pcs.html
"Bahadur Rubber 72 pcs","bahadur rubber b72 72 pcs
 soft and clean eraser
 for drawing or office",No,"PKR 160.00",No,"STATIONARY > SCHOOL SUPPLIES > WRITING TOOL",images/bahadur-rubber-72-pcs.jpg,https://stationeryx.pk/bahadur-rubber-72-pcs.html
"Mercury Sany Ink Remover (10pcs)","mercury sany ink remover 10pcs pack
 replace cap after use
 erase blue ink
 high quality blue ink
 plastic tip smooth writing
 fine eraser error firmly and smoothly",No,"PKR 100.00",No,"STATIONARY > SCHOOL SUPPLIES > WRITING TOOL",images/mercury-sany-ink-remover-10pcs-.jpg,https://stationeryx.pk/mercury-sany-ink-remover-10pcs.html
"Sensa Fluid Pen 7ml","Correction pen with neat and precise tip quickly covers even the smallest mistakes
 Squeeze-control system easily dispenses a steady, even flow of correction fluid
 Smooth, quick-drying formula with excellent, even coverage
 Covers ballpoint, gel, rollerball, and most marker inks",SENSA,"PKR 25.00",No,"STATIONARY > SCHOOL SUPPLIES > WRITING TOOL",images/sensa-fluid-pen-7ml.jpg,https://stationeryx.pk/sensa-fluid-pen-7ml.html
"Pelikan Erasers AL30","30 pieces in a box.
 
 Phthalate & latex free.
 AL-30
 Product of Germany.
 
 Sku 1114",No,"PKR 550.00",No,"STATIONARY > SCHOOL SUPPLIES > WRITING TOOL",images/pelikan-erasers-al30.jpg,https://stationeryx.pk/pelikan-erasers-al30.html
"Deli Student Eraser White (E3041)","Great Wiping Performance.
 PVC material.",No,"PKR 23.00",No,"STATIONARY > SCHOOL SUPPLIES > WRITING TOOL",images/deli-student-eraser-white-e3041-.jpg,https://stationeryx.pk/deli-student-eraser-white-e3041.html
